UNODC,unodc-dass@un.org,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
14/05/2025,,,,,,,,,,,,
Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
ARM,Armenia,Asia,Western Asia,Offences,by type of offence,Corruption,Total,Total,2013,Counts,782,CTS
AUT,Austria,Europe,Western Europe,Offences,by type of offence,Corruption,Total,Total,2013,Counts,3439,CTS
CHE,Switzerland,Europe,Western Europe,Offences,by type of offence,Corruption,Total,Total,2013,Counts,4884,CTS
CHL,Chile,Americas,Latin America and the Caribbean,Offences,by type of offence,Corruption,Total,Total,2013,Counts,339,CTS
COL,Colombia,Americas,Latin America and the Caribbean,Offences,by type of offence,Corruption,Total,Total,2013,Counts,23483,CTS
CYP,Cyprus,Asia,Western Asia,Offences,by type of offence,Corruption,Total,Total,2013,Counts,26,CTS
DEU,Germany,Europe,Western Europe,Offences,by type of offence,Corruption,Total,Total,2013,Counts,7030,CTS
DNK,Denmark,Europe,Northern Europe,Offences,by type of offence,Corruption,Total,Total,2013,Counts,1504,CTS
DOM,Dominican Republic,Americas,Latin America and the Caribbean,Offences,by type of offence,Corruption,Total,Total,2013,Counts,30,CTS
FIN,Finland,Europe,Northern Europe,Offences,by type of offence,Corruption,Total,Total,2013,Counts,3995,CTS
GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Offences,by type of offence,Corruption,Total,Total,2013,Counts,260,CTS
GTM,Guatemala,Americas,Latin America and the Caribbean,Offences,by type of offence,Corruption,Total,Total,2013,Counts,3486,CTS
HND,Honduras,Americas,Latin America and the Caribbean,Offences,by type of offence,Corruption,Total,Total,2013,Counts,1359,CTS
HUN,Hungary,Europe,Eastern Europe,Offences,by type of offence,Corruption,Total,Total,2013,Counts,404,CTS
KEN,Kenya,Africa,Sub-Saharan Africa,Offences,by type of offence,Corruption,Total,Total,2013,Counts,9,CTS
LTU,Lithuania,Europe,Northern Europe,Offences,by type of offence,Corruption,Total,Total,2013,Counts,1724,CTS
NLD,Netherlands (Kingdom of the),Europe,Western Europe,Offences,by type of offence,Corruption,Total,Total,2013,Counts,8887,CTS
NOR,Norway,Europe,Northern Europe,Offences,by type of offence,Corruption,Total,Total,2013,Counts,47,CTS
POL,Poland,Europe,Eastern Europe,Offences,by type of offence,Corruption,Total,Total,2013,Counts,11709,CTS
PRT,Portugal,Europe,Southern Europe,Offences,by type of offence,Corruption,Total,Total,2013,Counts,140,CTS
RUS,Russian Federation,Europe,Eastern Europe,Offences,by type of offence,Corruption,Total,Total,2013,Counts,42506,CTS
SRB,Serbia,Europe,Southern Europe,Offences,by type of offence,Corruption,Total,Total,2013,Counts,2321,CTS
SVK,Slovakia,Europe,Eastern Europe,Offences,by type of offence,Corruption,Total,Total,2013,Counts,123,CTS
SVN,Slovenia,Europe,Southern Europe,Offences,by type of offence,Corruption,Total,Total,2013,Counts,1996,CTS
SWE,Sweden,Europe,Northern Europe,Offences,by type of offence,Corruption,Total,Total,2013,Counts,2872,CTS
TUR,Türkiye,Asia,Western Asia,Offences,by type of offence,Corruption,Total,Total,2013,Counts,7480,CTS
USA,United States of America,Americas,Northern America,Offences,by type of offence,Corruption,Total,Total,2013,Counts,15700,CTS
XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,Offences,by type of offence,Corruption,Total,Total,2013,Counts,273,CTS
ARM,Armenia,Asia,Western Asia,Offences,by type of offence,Corruption,Total,Total,2014,Counts,599,CTS
AUT,Austria,Europe,Western Europe,Offences,by type of offence,Corruption,Total,Total,2014,Counts,3125,CTS
BEL,Belgium,Europe,Western Europe,Offences,by type of offence,Corruption,Total,Total,2014,Counts,6522,CTS
BGR,Bulgaria,Europe,Eastern Europe,Offences,by type of offence,Corruption,Total,Total,2014,Counts,199,CTS
BRB,Barbados,Americas,Latin America and the Caribbean,Offences,by type of offence,Corruption,Total,Total,2014,Counts,0,CTS
CHE,Switzerland,Europe,Western Europe,Offences,by type of offence,Corruption,Total,Total,2014,Counts,3607,CTS
CHL,Chile,Americas,Latin America and the Caribbean,Offences,by type of offence,Corruption,Total,Total,2014,Counts,232,CTS
COL,Colombia,Americas,Latin America and the Caribbean,Offences,by type of offence,Corruption,Total,Total,2014,Counts,21884,CTS
CRI,Costa Rica,Americas,Latin America and the Caribbean,Offences,by type of offence,Corruption,Total,Total,2014,Counts,397,CTS
CYP,Cyprus,Asia,Western Asia,Offences,by type of offence,Corruption,Total,Total,2014,Counts,45,CTS
